<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.02.25	00:03:30.701	0.77366	0.77509			6
2026.02.25	00:03:57.460	0.77376	0.77513			6
2026.02.25	00:04:00.270	0.77376				2
2026.02.25	00:04:52.561	0.77369				2
2026.02.25	00:04:57.586		0.77513			4
2026.02.25	00:05:00.117	0.77369				2
2026.02.25	00:05:00.430	0.77366	0.77495			6
2026.02.25	00:05:48.263		0.77454			4
2026.02.25	00:06:00.130	0.77366				2
2026.02.25	00:06:48.466		0.77454			4
2026.02.25	00:07:00.002	0.77366				2
2026.02.25	00:07:48.647		0.77454			4
2026.02.25	00:08:00.187	0.77366				2
2026.02.25	00:08:48.727		0.77454			4
2026.02.25	00:09:00.074	0.77366				2
2026.02.25	00:09:49.022		0.77454			4
2026.02.25	00:09:58.123	0.77385	0.77462			6
2026.02.25	00:10:00.301	0.77378				2
2026.02.25	00:10:00.934	0.77377				2
2026.02.25	00:10:03.799	0.77378				2
2026.02.25	00:10:12.581	0.77431	0.77504			6
2026.02.25	00:10:13.549		0.77503			4
2026.02.25	00:10:17.915	0.77432	0.77504			6
2026.02.25	00:10:29.934	0.77431	0.77503			6
2026.02.25	00:10:34.299	0.77432				2
2026.02.25	00:10:39.365	0.77411	0.77482			6
2026.02.25	00:10:39.679	0.77400	0.77471			6
2026.02.25	00:10:43.437	0.77401				2
2026.02.25	00:10:47.226	0.77388	0.77477			6
2026.02.25	00:10:56.978	0.77390	0.77479			6
2026.02.25	00:10:59.791	0.77377	0.77461			6
2026.02.25	00:11:00.116	0.77377				2
2026.02.25	00:11:03.560	0.77376	0.77460			6
2026.02.25	00:11:03.884	0.77377	0.77461			6
2026.02.25	00:11:04.512	0.77368	0.77446			6
2026.02.25	00:11:07.021	0.77351	0.77442			6
2026.02.25	00:11:07.650	0.77364	0.77429			6
2026.02.25	00:11:12.734	0.77359	0.77441			6
2026.02.25	00:11:13.663	0.77364	0.77429			6
2026.02.25	00:11:20.603		0.77430			4
2026.02.25	00:11:21.228	0.77363				2
2026.02.25	00:11:25.059	0.77359	0.77441			6
2026.02.25	00:11:25.684		0.77442			4
2026.02.25	00:11:25.987	0.77363	0.77430			6
2026.02.25	00:11:27.565	0.77362	0.77431			6
2026.02.25	00:11:31.007	0.77359	0.77442			6
2026.02.25	00:11:32.260	0.77363	0.77430			6
2026.02.25	00:11:36.300	0.77359	0.77431			6
2026.02.25	00:11:37.257	0.77358	0.77442			6
2026.02.25	00:11:37.579		0.77441			4
2026.02.25	00:11:38.206	0.77360	0.77430			6
2026.02.25	00:12:00.225	0.77360				2
2026.02.25	00:12:06.845	0.77359	0.77431			6
2026.02.25	00:12:07.476	0.77352	0.77438			6
2026.02.25	00:12:08.125	0.77360	0.77430			6
2026.02.25	00:12:10.007	0.77359	0.77431			6
2026.02.25	00:13:00.017	0.77359				2
2026.02.25	00:13:10.068		0.77431			4
2026.02.25	00:14:00.079	0.77357	0.77433			6
2026.02.25	00:14:39.454	0.77358	0.77432			6
2026.02.25	00:14:41.033	0.77357	0.77433			6
2026.02.25	00:15:00.052	0.77357				2
2026.02.25	00:15:12.601	0.77358	0.77432			6
2026.02.25	00:15:15.413	0.77357	0.77433			6
2026.02.25	00:15:19.176	0.77358				2
2026.02.25	00:15:19.478		0.77432			4
2026.02.25	00:15:21.361	0.77357	0.77433			6
2026.02.25	00:15:31.048	0.77358	0.77432			6
2026.02.25	00:15:37.940	0.77357	0.77433			6
2026.02.25	00:15:38.591	0.77358	0.77432			6
2026.02.25	00:15:39.539	0.77357	0.77433			6
2026.02.25	00:15:55.296	0.77358	0.77432			6
2026.02.25	00:16:00.290	0.77358				2
2026.02.25	00:16:07.518	0.77357	0.77433			6
2026.02.25	00:16:22.293	0.77358	0.77432			6
2026.02.25	00:16:24.151	0.77357	0.77433			6
2026.02.25	00:17:00.104	0.77357				2
2026.02.25	00:17:07.406	0.77358	0.77432			6
2026.02.25	00:17:25.296	0.77357	0.77433			6
2026.02.25	00:17:29.061	0.77358	0.77432			6
